MÊ;PRODUTO;PREÇO MÉDIO REVEN;;;;;;;;;;;;
nov/15;OLEO DIESEL;2,965;;;;;;;;;;;;
nov/15;OLEO DIESEL S10;3,112;;;;;;;;;;;;
dez/15;ETANOL HIDRATADO;2,659;;;;;;;;;;;;
dez/15;GASOLINA COMUM;3,633;;;;;;;;;;;;
dez/15;GLP;54,071;;;;;;;;;;;;
dez/15;GNV;2,225;;;;;;;;;;;;
dez/15;OLEO DIESEL;2,985;;;;;;;;;;;;
dez/15;OLEO DIESEL S10;3,128;;;;;;;;;;;;
jan/16;ETANOL HIDRATADO;2,718;;;;;;;;;;;;
jan/16;GASOLINA COMUM;3,676;;;;;;;;;;;;
jan/16;GLP;53,947;;;;;;;;;;;;
jan/16;GNV;2,244;;;;;;;;;;;;
jan/16;OLEO DIESEL;3,003;;;;;;;;;;;;
jan/16;OLEO DIESEL S10;3,148;;;;;;;;;;;;
fev/16;ETANOL HIDRATADO;2,808;;;;;;;;;;;;
fev/16;GASOLINA COMUM;3,710;;;;;;;;;;;;
fev/16;GLP;53,941;;;;;;;;;;;;
fev/16;GNV;2,251;;;;;;;;;;;;
fev/16;OLEO DIESEL;3,017;;;;;;;;;;;;
fev/16;OLEO DIESEL S10;3,158;;;;;;;;;;;;
mar/16;ETANOL HIDRATADO;2,869;;;;;;;;;;;;
mar/16;GASOLINA COMUM;3,730;;;;;;;;;;;;
mar/16;GLP;53,871;;;;;;;;;;;;
mar/16;GNV;2,253;;;;;;;;;;;;
mar/16;OLEO DIESEL;3,020;;;;;;;;;;;;
mar/16;OLEO DIESEL S10;3,164;;;;;;;;;;;;
abr/16;ETANOL HIDRATADO;2,741;;;;;;;;;;;;
abr/16;GASOLINA COMUM;3,717;;;;;;;;;;;;
abr/16;GLP;53,679;;;;;;;;;;;;
abr/16;GNV;2,251;;;;;;;;;;;;
abr/16;OLEO DIESEL;3,021;;;;;;;;;;;;
abr/16;OLEO DIESEL S10;3,165;;;;;;;;;;;;
mai/16;ETANOL HIDRATADO;2,478;;;;;;;;;;;;
mai/16;GASOLINA COMUM;3,674;;;;;;;;;;;;
mai/16;GLP;53,384;;;;;;;;;;;;
mai/16;GNV;2,241;;;;;;;;;;;;
mai/16;OLEO DIESEL;3,017;;;;;;;;;;;;
mai/16;OLEO DIESEL S10;3,161;;;;;;;;;;;;
jun/16;ETANOL HIDRATADO;2,466;;;;;;;;;;;;
jun/16;GASOLINA COMUM;3,646;;;;;;;;;;;;
jun/16;GLP;53,122;;;;;;;;;;;;
jun/16;GNV;2,231;;;;;;;;;;;;
jun/16;OLEO DIESEL;3,015;;;;;;;;;;;;
jun/16;OLEO DIESEL S10;3,159;;;;;;;;;;;;
jul/16;ETANOL HIDRATADO;2,434;;;;;;;;;;;;
jul/16;GASOLINA COMUM;3,638;;;;;;;;;;;;
jul/16;GLP;52,878;;;;;;;;;;;;
jul/16;GNV;2,235;;;;;;;;;;;;
jul/16;OLEO DIESEL;3,013;;;;;;;;;;;;
jul/16;OLEO DIESEL S10;3,156;;;;;;;;;;;;
ago/16;ETANOL HIDRATADO;2,485;;;;;;;;;;;;
ago/16;GASOLINA COMUM;3,651;;;;;;;;;;;;
ago/16;GLP;52,774;;;;;;;;;;;;
ago/16;GNV;2,212;;;;;;;;;;;;
ago/16;OLEO DIESEL;3,010;;;;;;;;;;;;
ago/16;OLEO DIESEL S10;3,150;;;;;;;;;;;;
set/16;ETANOL HIDRATADO;2,510;;;;;;;;;;;;
set/16;GASOLINA COMUM;3,648;;;;;;;;;;;;
set/16;GLP;54,688;;;;;;;;;;;;
set/16;GNV;2,224;;;;;;;;;;;;
set/16;OLEO DIESEL;3,009;;;;;;;;;;;;
set/16;OLEO DIESEL S10;3,150;;;;;;;;;;;;
out/16;ETANOL HIDRATADO;2,676;;;;;;;;;;;;
out/16;GASOLINA COMUM;3,662;;;;;;;;;;;;
out/16;GLP;55,343;;;;;;;;;;;;
out/16;GNV;2,201;;;;;;;;;;;;
out/16;OLEO DIESEL;3,009;;;;;;;;;;;;
out/16;OLEO DIESEL S10;3,148;;;;;;;;;;;;
nov/16;ETANOL HIDRATADO;2,812;;;;;;;;;;;;
nov/16;GASOLINA COMUM;3,671;;;;;;;;;;;;
nov/16;GLP;55,607;;;;;;;;;;;;
nov/16;GNV;2,221;;;;;;;;;;;;
nov/16;OLEO DIESEL;2,993;;;;;;;;;;;;
nov/16;OLEO DIESEL S10;3,136;;;;;;;;;;;;
dez/16;ETANOL HIDRATADO;2,831;;;;;;;;;;;;
dez/16;GASOLINA COMUM;3,734;;;;;;;;;;;;
dez/16;GLP;55,601;;;;;;;;;;;;
dez/16;GNV;2,214;;;;;;;;;;;;
dez/16;OLEO DIESEL;3,024;;;;;;;;;;;;
dez/16;OLEO DIESEL S10;3,170;;;;;;;;;;;;
jan/17;ETANOL HIDRATADO;2,910;;;;;;;;;;;;
jan/17;GASOLINA COMUM;3,768;;;;;;;;;;;;
jan/17;GLP;55,611;;;;;;;;;;;;
jan/17;GNV;2,218;;;;;;;;;;;;
jan/17;OLEO DIESEL;3,092;;;;;;;;;;;;
jan/17;OLEO DIESEL S10;3,239;;;;;;;;;;;;
fev/17;ETANOL HIDRATADO;2,884;;;;;;;;;;;;
fev/17;GASOLINA COMUM;3,755;;;;;;;;;;;;
fev/17;GLP;55,488;;;;;;;;;;;;
fev/17;GNV;2,284;;;;;;;;;;;;
fev/17;OLEO DIESEL;3,098;;;;;;;;;;;;
fev/17;OLEO DIESEL S10;3,241;;;;;;;;;;;;
mar/17;ETANOL HIDRATADO;2,745;;;;;;;;;;;;
mar/17;GASOLINA COMUM;3,687;;;;;;;;;;;;
mar/17;GLP;55,679;;;;;;;;;;;;
mar/17;GNV;2,302;;;;;;;;;;;;
mar/17;OLEO DIESEL;3,050;;;;;;;;;;;;
mar/17;OLEO DIESEL S10;3,191;;;;;;;;;;;;
abr/17;ETANOL HIDRATADO;2,639;;;;;;;;;;;;
abr/17;GASOLINA COMUM;3,635;;;;;;;;;;;;
abr/17;GLP;57,187;;;;;;;;;;;;
abr/17;GNV;2,298;;;;;;;;;;;;
abr/17;OLEO DIESEL;3,015;;;;;;;;;;;;
abr/17;OLEO DIESEL S10;3,156;;;;;;;;;;;;
mai/17;ETANOL HIDRATADO;2,584;;;;;;;;;;;;
mai/17;GASOLINA COMUM;3,617;;;;;;;;;;;;
mai/17;GLP;57,206;;;;;;;;;;;;
mai/17;GNV;2,316;;;;;;;;;;;;
mai/17;OLEO DIESEL;3,017;;;;;;;;;;;;
mai/17;OLEO DIESEL S10;3,153;;;;;;;;;;;;
jun/17;ETANOL HIDRATADO;2,485;;;;;;;;;;;;
jun/17;GASOLINA COMUM;3,548;;;;;;;;;;;;
jun/17;GLP;57,379;;;;;;;;;;;;
jun/17;GNV;2,334;;;;;;;;;;;;
jun/17;OLEO DIESEL;2,985;;;;;;;;;;;;
jun/17;OLEO DIESEL S10;3,121;;;;;;;;;;;;
jul/17;ETANOL HIDRATADO;2,460;;;;;;;;;;;;
jul/17;GASOLINA COMUM;3,553;;;;;;;;;;;;
jul/17;GLP;57,526;;;;;;;;;;;;
jul/17;GNV;2,342;;;;;;;;;;;;
jul/17;OLEO DIESEL;2,971;;;;;;;;;;;;
jul/17;OLEO DIESEL S10;3,101;;;;;;;;;;;;
ago/17;ETANOL HIDRATADO;2,611;;;;;;;;;;;;
ago/17;GASOLINA COMUM;3,781;;;;;;;;;;;;
ago/17;GLP;57,601;;;;;;;;;;;;
ago/17;GNV;2,368;;;;;;;;;;;;
ago/17;OLEO DIESEL;3,102;;;;;;;;;;;;
ago/17;OLEO DIESEL S10;3,237;;;;;;;;;;;;
set/17;ETANOL HIDRATADO;2,633;;;;;;;;;;;;
set/17;GASOLINA COMUM;3,881;;;;;;;;;;;;
set/17;GLP;59,451;;;;;;;;;;;;
set/17;GNV;2,376;;;;;;;;;;;;
set/17;OLEO DIESEL;3,173;;;;;;;;;;;;
set/17;OLEO DIESEL S10;3,309;;;;;;;;;;;;
out/17;ETANOL HIDRATADO;2,668;;;;;;;;;;;;
out/17;GASOLINA COMUM;3,895;;;;;;;;;;;;
out/17;GLP;63,208;;;;;;;;;;;;
out/17;GNV;2,387;;;;;;;;;;;;
out/17;OLEO DIESEL;3,223;;;;;;;;;;;;
out/17;OLEO DIESEL S10;3,353;;;;;;;;;;;;
nov/17;ETANOL HIDRATADO;2,790;;;;;;;;;;;;
nov/17;GASOLINA COMUM;4,004;;;;;;;;;;;;
nov/17;GLP;65,186;;;;;;;;;;;;
nov/17;GNV;2,420;;;;;;;;;;;;
nov/17;OLEO DIESEL;3,290;;;;;;;;;;;;
nov/17;OLEO DIESEL S10;3,421;;;;;;;;;;;;
dez/17;ETANOL HIDRATADO;2,879;;;;;;;;;;;;
dez/17;GASOLINA COMUM;4,085;;;;;;;;;;;;
dez/17;GLP;66,529;;;;;;;;;;;;
dez/17;GNV;2,421;;;;;;;;;;;;
dez/17;OLEO DIESEL;3,323;;;;;;;;;;;;
dez/17;OLEO DIESEL S10;3,455;;;;;;;;;;;;
jan/18;ETANOL HIDRATADO;2,984;;;;;;;;;;;;
jan/18;GASOLINA COMUM;4,189;;;;;;;;;;;;
jan/18;GLP;67,306;;;;;;;;;;;;
jan/18;GNV;2,468;;;;;;;;;;;;
jan/18;OLEO DIESEL;3,375;;;;;;;;;;;;
jan/18;OLEO DIESEL S10;3,498;;;;;;;;;;;;
fev/18;ETANOL HIDRATADO;3,023;;;;;;;;;;;;
fev/18;GASOLINA COMUM;4,208;;;;;;;;;;;;
fev/18;GLP;66,803;;;;;;;;;;;;
fev/18;GNV;2,519;;;;;;;;;;;;
fev/18;OLEO DIESEL;3,388;;;;;;;;;;;;
fev/18;OLEO DIESEL S10;3,510;;;;;;;;;;;;
mar/18;ETANOL HIDRATADO;3,032;;;;;;;;;;;;
mar/18;GASOLINA COMUM;4,199;;;;;;;;;;;;
mar/18;GLP;66,790;;;;;;;;;;;;
